Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2021/22

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Arjeplog;2506;Norrbottens län;25;Samtliga;Matematik;54,5;..;..;12;..;..;..;..;..;11,3;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Svenska;90,5;100,0;..;19;..;..;~100;100,0;..;12,5;14,5;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Matematik;54,5;..;..;12;..;..;..;..;..;11,3;..;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Engelska;95,5;100,0;90,9;21;11;10;100,0;100,0;100,0;15,4;16,6;14,0;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;.;.;.;..;.;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Svenska;95,8;94,7;96,6;46;18;28;82,6;~100;..;10,4;11,9;9,4;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Matematik;95,9;94,7;96,7;47;18;29;80,9;..;~100;9,7;7,4;11,1;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Engelska;95,9;89,5;100,0;47;17;30;100,0;100,0;100,0;14,1;13,8;14,3;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Svenska;95,8;94,7;96,6;46;18;28;82,6;~100;..;10,4;11,9;9,4;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;.;.;.;..;.;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Engelska;95,9;89,5;100,0;47;17;30;100,0;100,0;100,0;14,1;13,8;14,3;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Matematik;95,9;94,7;96,7;47;18;29;80,9;..;~100;9,7;7,4;11,1;
Arvika;1784;Värmlands län;17;Samtliga;Svenska;91,9;93,9;90,1;260;124;136;93,5;~100;..;12,5;13,7;11,4;
Arvika;1784;Värmlands län;17;Samtliga;Matematik;85,0;87,9;82,4;260;124;136;87,3;87,9;86,8;10,6;10,6;10,6;
Arvika;1784;Värmlands län;17;Samtliga;Engelska;87,3;87,9;86,7;267;124;143;97,4;..;~100;15,2;14,9;15,5;
Arvika;1784;Värmlands län;17;Samtliga;Svenska som andraspråk;73,9;..;71,4;17;..;..;70,6;..;..;8,2;..;6,0;
Arvika;1784;Värmlands län;17;Kommunal;Svenska som andraspråk;73,9;..;71,4;17;..;..;70,6;..;..;8,2;..;6,0;
Arvika;1784;Värmlands län;17;Kommunal;Svenska;91,9;93,4;90,8;194;85;109;91,2;~100;..;12,0;13,4;11,0;
Arvika;1784;Värmlands län;17;Kommunal;Engelska;88,5;89,0;88,1;207;89;118;97,1;~100;~100;14,8;14,2;15,2;
Arvika;1784;Värmlands län;17;Kommunal;Matematik;83,8;87,0;81,3;196;87;109;86,2;87,4;85,3;10,4;10,5;10,3;
