Statistik från Skolverket, https://www.skolverket.se

Grundskola - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2024/25

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel (%) elever behöriga till yrkesprog.;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;
Bjurholm;2403;Västerbottens län;24;Kommunal;Samtliga;27;~100;~100;81,5;~100;
Bjuv;1260;Skåne län;12;Samtliga;Flickor;79;81,0;73,4;69,6;69,6;
Bjuv;1260;Skåne län;12;Samtliga;Pojkar;106;75,5;71,7;62,3;66,0;
Bjuv;1260;Skåne län;12;Samtliga;Samtliga;185;77,8;72,4;65,4;67,6;
Bjuv;1260;Skåne län;12;Kommunal;Flickor;79;81,0;73,4;69,6;69,6;
Bjuv;1260;Skåne län;12;Kommunal;Pojkar;106;75,5;71,7;62,3;66,0;
Bjuv;1260;Skåne län;12;Kommunal;Samtliga;185;77,8;72,4;65,4;67,6;
Boden;2582;Norrbottens län;25;Samtliga;Flickor;150;78,0;77,3;75,3;76,7;
Boden;2582;Norrbottens län;25;Samtliga;Pojkar;153;79,1;78,4;77,8;77,1;
Boden;2582;Norrbottens län;25;Samtliga;Samtliga;303;78,5;77,9;76,6;76,9;
Boden;2582;Norrbottens län;25;Kommunal;Flickor;102;73,5;73,5;70,6;72,5;
Boden;2582;Norrbottens län;25;Kommunal;Pojkar;107;72,9;72,0;72,0;70,1;
Boden;2582;Norrbottens län;25;Kommunal;Samtliga;209;73,2;72,7;71,3;71,3;
Boden;2582;Norrbottens län;25;Enskild;Flickor;48;..;..;..;..;
Boden;2582;Norrbottens län;25;Enskild;Pojkar;46;~100;~100;~100;~100;
Boden;2582;Norrbottens län;25;Enskild;Samtliga;94;90,4;89,4;88,3;89,4;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Flickor;57;86,0;86,0;82,5;68,4;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Pojkar;64;90,6;89,1;84,4;79,7;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Samtliga;121;88,4;87,6;83,5;74,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Flickor;57;86,0;86,0;82,5;68,4;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Pojkar;64;90,6;89,1;84,4;79,7;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Samtliga;121;88,4;87,6;83,5;74,4;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Flickor;125;82,4;80,0;80,0;77,6;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Pojkar;176;81,3;80,7;79,5;80,1;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Samtliga;301;81,7;80,4;79,7;79,1;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Flickor;71;73,2;70,4;70,4;67,6;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Pojkar;88;73,9;72,7;70,5;71,6;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Samtliga;159;73,6;71,7;70,4;69,8;
Bollnäs;2183;Gävleborgs län;21;Enskild;Flickor;54;~100;~100;~100;90,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;Pojkar;88;..;..;..;88,6;
Bollnäs;2183;Gävleborgs län;21;Enskild;Samtliga;142;90,8;90,1;90,1;89,4;
Borgholm;0885;Kalmar län;08;Samtliga;Flickor;37;..;..;..;75,7;
Borgholm;0885;Kalmar län;08;Samtliga;Pojkar;28;~100;~100;~100;82,1;
Borgholm;0885;Kalmar län;08;Samtliga;Samtliga;65;83,1;83,1;80,0;78,5;
Borgholm;0885;Kalmar län;08;Kommunal;Flickor;37;..;..;..;75,7;
Borgholm;0885;Kalmar län;08;Kommunal;Pojkar;28;~100;~100;~100;82,1;
Borgholm;0885;Kalmar län;08;Kommunal;Samtliga;65;83,1;83,1;80,0;78,5;
Borlänge;2081;Dalarnas län;20;Samtliga;Flickor;287;81,9;81,2;79,8;76,7;
Borlänge;2081;Dalarnas län;20;Samtliga;Pojkar;309;71,2;69,6;66,0;65,7;
Borlänge;2081;Dalarnas län;20;Samtliga;Samtliga;596;76,3;75,2;72,7;71,0;
Borlänge;2081;Dalarnas län;20;Kommunal;Flickor;234;80,3;79,5;77,8;75,2;
Borlänge;2081;Dalarnas län;20;Kommunal;Pojkar;269;70,3;68,4;64,7;64,3;
Borlänge;2081;Dalarnas län;20;Kommunal;Samtliga;503;75,0;73,6;70,8;69,4;
Borlänge;2081;Dalarnas län;20;Enskild;Flickor;53;88,7;88,7;88,7;83,0;
Borlänge;2081;Dalarnas län;20;Enskild;Pojkar;40;77,5;77,5;75,0;75,0;
Borlänge;2081;Dalarnas län;20;Enskild;Samtliga;93;83,9;83,9;82,8;79,6;
Borås;1490;Västra Götalands län;14;Samtliga;Flickor;675;82,4;81,2;79,4;76,3;
Borås;1490;Västra Götalands län;14;Samtliga;Pojkar;697;81,1;80,3;77,8;74,7;
Borås;1490;Västra Götalands län;14;Samtliga;Samtliga;1 372;81,7;80,8;78,6;75,5;
Borås;1490;Västra Götalands län;14;Kommunal;Flickor;543;80,8;79,7;78,1;74,0;
Borås;1490;Västra Götalands län;14;Kommunal;Pojkar;577;79,7;78,9;76,4;72,3;
Borås;1490;Västra Götalands län;14;Kommunal;Samtliga;1 120;80,3;79,3;77,2;73,1;
Borås;1490;Västra Götalands län;14;Enskild;Flickor;132;88,6;87,1;84,8;85,6;
Borås;1490;Västra Götalands län;14;Enskild;Pojkar;120;87,5;87,5;84,2;86,7;
Borås;1490;Västra Götalands län;14;Enskild;Samtliga;252;88,1;87,3;84,5;86,1;
Botkyrka;0127;Stockholms län;01;Samtliga;Flickor;561;86,1;84,5;81,5;82,0;
Botkyrka;0127;Stockholms län;01;Samtliga;Pojkar;581;84,2;83,1;80,7;79,9;
Botkyrka;0127;Stockholms län;01;Samtliga;Samtliga;1 142;85,1;83,8;81,1;80,9;
Botkyrka;0127;Stockholms län;01;Kommunal;Flickor;456;86,8;85,3;81,8;82,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Pojkar;491;84,5;83,3;81,1;79,8;
Botkyrka;0127;Stockholms län;01;Kommunal;Samtliga;947;85,6;84,3;81,4;81,1;
Botkyrka;0127;Stockholms län;01;Enskild;Flickor;105;82,9;81,0;80,0;80,0;
Botkyrka;0127;Stockholms län;01;Enskild;Pojkar;90;82,2;82,2;78,9;80,0;
Botkyrka;0127;Stockholms län;01;Enskild;Samtliga;195;82,6;81,5;79,5;80,0;
Boxholm;0560;Östergötlands län;05;Samtliga;Flickor;25;~100;~100;~100;~100;
Boxholm;0560;Östergötlands län;05;Samtliga;Pojkar;24;~100;~100;~100;~100;
Boxholm;0560;Östergötlands län;05;Samtliga;Samtliga;49;~100;~100;~100;87,8;
Boxholm;0560;Östergötlands län;05;Kommunal;Flickor;25;~100;~100;~100;~100;
Boxholm;0560;Östergötlands län;05;Kommunal;Pojkar;24;~100;~100;~100;~100;
Boxholm;0560;Östergötlands län;05;Kommunal;Samtliga;49;~100;~100;~100;87,8;
Bromölla;1272;Skåne län;12;Samtliga;Flickor;60;65,0;58,3;56,7;53,3;
Bromölla;1272;Skåne län;12;Samtliga;Pojkar;71;78,9;77,5;74,6;74,6;
Bromölla;1272;Skåne län;12;Samtliga;Samtliga;131;72,5;68,7;66,4;64,9;
Bromölla;1272;Skåne län;12;Kommunal;Flickor;60;65,0;58,3;56,7;53,3;
Bromölla;1272;Skåne län;12;Kommunal;Pojkar;71;78,9;77,5;74,6;74,6;
Bromölla;1272;Skåne län;12;Kommunal;Samtliga;131;72,5;68,7;66,4;64,9;
Bräcke;2305;Jämtlands län;23;Samtliga;Flickor;30;~100;83,3;83,3;83,3;
Bräcke;2305;Jämtlands län;23;Samtliga;Pojkar;32;..;84,4;84,4;81,3;
Bräcke;2305;Jämtlands län;23;Samtliga;Samtliga;62;85,5;83,9;83,9;82,3;
Bräcke;2305;Jämtlands län;23;Kommunal;Flickor;30;~100;83,3;83,3;83,3;
Bräcke;2305;Jämtlands län;23;Kommunal;Pojkar;32;..;84,4;84,4;81,3;
Bräcke;2305;Jämtlands län;23;Kommunal;Samtliga;62;85,5;83,9;83,9;82,3;
Burlöv;1231;Skåne län;12;Samtliga;Flickor;68;75,0;73,5;72,1;69,1;
Burlöv;1231;Skåne län;12;Samtliga;Pojkar;102;82,4;81,4;80,4;76,5;
Burlöv;1231;Skåne län;12;Samtliga;Samtliga;170;79,4;78,2;77,1;73,5;
Burlöv;1231;Skåne län;12;Kommunal;Flickor;68;75,0;73,5;72,1;69,1;
Burlöv;1231;Skåne län;12;Kommunal;Pojkar;102;82,4;81,4;80,4;76,5;
Burlöv;1231;Skåne län;12;Kommunal;Samtliga;170;79,4;78,2;77,1;73,5;
Båstad;1278;Skåne län;12;Samtliga;Flickor;104;84,6;84,6;82,7;84,6;
Båstad;1278;Skåne län;12;Samtliga;Pojkar;88;86,4;86,4;86,4;85,2;
Båstad;1278;Skåne län;12;Samtliga;Samtliga;192;85,4;85,4;84,4;84,9;
Båstad;1278;Skåne län;12;Kommunal;Flickor;104;84,6;84,6;82,7;84,6;
Båstad;1278;Skåne län;12;Kommunal;Pojkar;88;86,4;86,4;86,4;85,2;
Båstad;1278;Skåne län;12;Kommunal;Samtliga;192;85,4;85,4;84,4;84,9;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Flickor;25;~100;~100;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Pojkar;25;~100;~100;~100;~100;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Samtliga;50;90,0;90,0;88,0;82,0;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Flickor;25;~100;~100;..;..;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Pojkar;25;~100;~100;~100;~100;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Samtliga;50;90,0;90,0;88,0;82,0;
Danderyd;0162;Stockholms län;01;Samtliga;Flickor;247;~100;~100;~100;97,0;
Danderyd;0162;Stockholms län;01;Samtliga;Pojkar;306;..;..;..;93,6;
Danderyd;0162;Stockholms län;01;Samtliga;Samtliga;553;96,8;96,6;96,6;95,1;
Danderyd;0162;Stockholms län;01;Kommunal;Flickor;151;~100;~100;~100;95,4;
Danderyd;0162;Stockholms län;01;Kommunal;Pojkar;197;..;..;..;90,9;
Danderyd;0162;Stockholms län;01;Kommunal;Samtliga;348;95,4;95,1;95,1;92,8;
Danderyd;0162;Stockholms län;01;Enskild;Flickor;96;100,0;100,0;100,0;100,0;
Danderyd;0162;Stockholms län;01;Enskild;Pojkar;109;~100;~100;~100;~100;
Danderyd;0162;Stockholms län;01;Enskild;Samtliga;205;~100;~100;~100;~100;
Degerfors;1862;Örebro län;18;Samtliga;Flickor;43;79,1;79,1;79,1;76,7;
Degerfors;1862;Örebro län;18;Samtliga;Pojkar;36;61,1;61,1;55,6;55,6;
Degerfors;1862;Örebro län;18;Samtliga;Samtliga;79;70,9;70,9;68,4;67,1;
