Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2021/22
Valt uttag: 2022-02-11

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Ljusnarsberg;1864;Örebro län;18;Samtliga;35,8;24,6;68,7;5,8;40;31;77,5;6;
Ljusnarsberg;1864;Örebro län;18;Kommunal;35,8;24,6;68,7;5,8;40;31;77,5;6;
Lomma;1262;Skåne län;12;Samtliga;256,4;207,0;80,7;38,1;300;260;86,7;40;
Lomma;1262;Skåne län;12;Kommunal;240,4;198,0;82,3;35,2;279;246;88,2;37;
Lomma;1262;Skåne län;12;Enskild;16,1;9,1;56,6;2,9;21;14;66,7;3;
Ludvika;2085;Dalarnas län;20;Samtliga;232,0;123,3;53,2;22,0;265;160;60,4;22;
Ludvika;2085;Dalarnas län;20;Kommunal;226,7;119,3;52,6;22,0;257;154;59,9;22;
Ludvika;2085;Dalarnas län;20;Enskild;5,3;4,0;76,2;.;8;6;75,0;.;
Luleå;2580;Norrbottens län;25;Samtliga;601,5;477,5;79,4;81,3;645;568;88,1;83;
Luleå;2580;Norrbottens län;25;Kommunal;529,8;419,9;79,3;71,5;569;500;87,9;73;
Luleå;2580;Norrbottens län;25;Enskild;71,7;57,6;80,3;9,8;77;68;88,3;10;
Lund;1281;Skåne län;12;Samtliga;902,2;694,9;77,0;117,3;1 047;893;85,3;129;
Lund;1281;Skåne län;12;Kommunal;761,4;601,3;79,0;98,7;884;764;86,4;108;
Lund;1281;Skåne län;12;Enskild;140,8;93,5;66,4;18,7;164;130;79,3;21;
