Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2020/21

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Elever, årskurs 1-9;
Ånge;2260;Västernorrlands län;22;Enskild;45;..;48;13;11;11;11;6;12;18;10;9;101;
Åre;2321;Jämtlands län;23;Samtliga;49;16;62;120;128;156;170;151;161;140;134;125;1 285;
Åre;2321;Jämtlands län;23;Kommunal;49;16;62;120;128;156;170;151;161;140;134;125;1 285;
Årjäng;1765;Värmlands län;17;Samtliga;49;25;39;97;101;102;127;112;114;111;88;117;969;
Årjäng;1765;Värmlands län;17;Kommunal;49;25;39;91;99;96;125;109;109;111;88;117;945;
Årjäng;1765;Värmlands län;17;Enskild;54;29;33;6;2;6;2;3;5;.;.;.;24;
Åsele;2463;Västerbottens län;24;Samtliga;50;18;38;22;25;28;16;28;26;31;28;25;229;
Åsele;2463;Västerbottens län;24;Kommunal;50;18;38;22;25;28;16;28;26;31;28;25;229;
Åstorp;1277;Skåne län;12;Samtliga;49;37;43;226;213;235;218;235;213;221;217;219;1 997;
Åstorp;1277;Skåne län;12;Kommunal;49;37;43;226;213;235;218;235;213;221;217;219;1 997;
