Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Bjurholm;2403;Västerbottens län;24;Kommunal;Matematik;17;..;..;~100;..;~100;10,6;..;10,4;89,5;..;92,3;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska;17;..;..;~100;..;~100;9,7;..;10,9;94,4;..;91,7;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Bjuv;1260;Skåne län;12;Samtliga;Svenska;130;71;59;77,7;88,7;64,4;9,5;11,3;7,4;89,0;92,2;85,5;
Bjuv;1260;Skåne län;12;Samtliga;Svenska som andraspråk;37;16;21;75,7;..;~100;8,3;8,0;8,6;92,5;88,9;95,5;
Bjuv;1260;Skåne län;12;Samtliga;Matematik;159;82;77;78,6;84,1;72,7;9,1;9,7;8,5;85,5;86,3;84,6;
Bjuv;1260;Skåne län;12;Samtliga;Engelska;165;86;79;95,2;~100;..;13,9;14,5;13,2;88,7;90,5;86,8;
Bjuv;1260;Skåne län;12;Kommunal;Matematik;159;82;77;78,6;84,1;72,7;9,1;9,7;8,5;85,5;86,3;84,6;
Bjuv;1260;Skåne län;12;Kommunal;Svenska;130;71;59;77,7;88,7;64,4;9,5;11,3;7,4;89,0;92,2;85,5;
Bjuv;1260;Skåne län;12;Kommunal;Svenska som andraspråk;37;16;21;75,7;..;~100;8,3;8,0;8,6;92,5;88,9;95,5;
Bjuv;1260;Skåne län;12;Kommunal;Engelska;165;86;79;95,2;~100;..;13,9;14,5;13,2;88,7;90,5;86,8;
