Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Nyköping;0480;Södermanlands län;04;Kommunal;Svenska;206;86;120;90,3;~100;..;11,7;13,1;10,6;86,6;81,9;90,2;
Nyköping;0480;Södermanlands län;04;Kommunal;Svenska som andraspråk;65;30;35;72,3;~100;..;8,0;10,2;6,2;79,3;81,1;77,8;
Nyköping;0480;Södermanlands län;04;Enskild;Engelska;358;181;177;98,3;..;~100;15,9;15,9;15,9;92,0;92,3;91,7;
Nyköping;0480;Södermanlands län;04;Enskild;Svenska;343;177;166;94,5;96,6;92,2;13,6;14,3;12,8;90,5;91,7;89,2;
Nyköping;0480;Södermanlands län;04;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Nyköping;0480;Södermanlands län;04;Enskild;Matematik;357;180;177;91,9;91,1;92,7;12,8;12,3;13,2;91,8;91,8;91,7;
Nynäshamn;0192;Stockholms län;01;Samtliga;Engelska;255;125;130;94,9;93,6;96,2;14,6;14,1;15,1;89,2;90,6;87,8;
Nynäshamn;0192;Stockholms län;01;Samtliga;Matematik;254;128;126;71,7;71,1;72,2;9,2;9,0;9,3;88,5;92,1;85,1;
Nynäshamn;0192;Stockholms län;01;Samtliga;Svenska som andraspråk;35;20;15;68,6;..;~100;8,6;8,4;9,0;90,0;91,3;88,2;
Nynäshamn;0192;Stockholms län;01;Samtliga;Svenska;224;110;114;81,3;83,6;78,9;10,5;11,2;9,9;92,2;95,7;89,1;
Nynäshamn;0192;Stockholms län;01;Kommunal;Engelska;255;125;130;94,9;93,6;96,2;14,6;14,1;15,1;89,2;90,6;87,8;
Nynäshamn;0192;Stockholms län;01;Kommunal;Svenska som andraspråk;35;20;15;68,6;..;~100;8,6;8,4;9,0;90,0;91,3;88,2;
Nynäshamn;0192;Stockholms län;01;Kommunal;Matematik;254;128;126;71,7;71,1;72,2;9,2;9,0;9,3;88,5;92,1;85,1;
Nynäshamn;0192;Stockholms län;01;Kommunal;Svenska;224;110;114;81,3;83,6;78,9;10,5;11,2;9,9;92,2;95,7;89,1;
Nässjö;0682;Jönköpings län;06;Samtliga;Engelska;320;149;171;97,2;~100;..;15,4;15,3;15,5;91,2;93,1;89,5;
Nässjö;0682;Jönköpings län;06;Samtliga;Svenska;243;115;128;97,1;~100;..;13,6;14,5;12,9;91,4;92,0;90,8;
Nässjö;0682;Jönköpings län;06;Samtliga;Svenska som andraspråk;77;33;44;80,5;~100;..;10,1;11,2;9,3;90,6;94,3;88,0;
Nässjö;0682;Jönköpings län;06;Samtliga;Matematik;320;151;169;91,9;90,7;92,9;12,2;11,9;12,4;91,2;94,4;88,5;
Nässjö;0682;Jönköpings län;06;Kommunal;Svenska;243;115;128;97,1;~100;..;13,6;14,5;12,9;91,4;92,0;90,8;
Nässjö;0682;Jönköpings län;06;Kommunal;Engelska;320;149;171;97,2;~100;..;15,4;15,3;15,5;91,2;93,1;89,5;
Nässjö;0682;Jönköpings län;06;Kommunal;Matematik;320;151;169;91,9;90,7;92,9;12,2;11,9;12,4;91,2;94,4;88,5;
Nässjö;0682;Jönköpings län;06;Kommunal;Svenska som andraspråk;77;33;44;80,5;~100;..;10,1;11,2;9,3;90,6;94,3;88,0;
Ockelbo;2101;Gävleborgs län;21;Samtliga;Engelska;62;37;25;~100;100,0;~100;15,5;16,4;14,2;89,9;84,1;100,0;
Ockelbo;2101;Gävleborgs län;21;Samtliga;Matematik;64;39;25;71,9;79,5;60,0;8,9;9,7;7,6;92,8;88,6;100,0;
Ockelbo;2101;Gävleborgs län;21;Samtliga;Svenska;60;38;22;~100;100,0;~100;12,8;14,1;10,3;93,8;92,7;95,7;
Ockelbo;2101;Gävleborgs län;21;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Ockelbo;2101;Gävleborgs län;21;Kommunal;Engelska;62;37;25;~100;100,0;~100;15,5;16,4;14,2;89,9;84,1;100,0;
Ockelbo;2101;Gävleborgs län;21;Kommunal;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Ockelbo;2101;Gävleborgs län;21;Kommunal;Matematik;64;39;25;71,9;79,5;60,0;8,9;9,7;7,6;92,8;88,6;100,0;
Ockelbo;2101;Gävleborgs län;21;Kommunal;Svenska;60;38;22;~100;100,0;~100;12,8;14,1;10,3;93,8;92,7;95,7;
Olofström;1060;Blekinge län;10;Samtliga;Svenska som andraspråk;13;..;..;..;..;..;6,9;..;..;92,9;..;..;
Olofström;1060;Blekinge län;10;Samtliga;Svenska;109;56;53;~100;100,0;~100;13,4;14,0;12,8;85,8;83,6;88,3;
Olofström;1060;Blekinge län;10;Samtliga;Engelska;123;65;58;~100;100,0;~100;16,1;16,3;15,8;87,2;87,8;86,6;
Olofström;1060;Blekinge län;10;Samtliga;Matematik;105;50;55;81,9;80,0;83,6;11,0;10,3;11,6;90,1;89,2;91,0;
Olofström;1060;Blekinge län;10;Kommunal;Svenska som andraspråk;13;..;..;..;..;..;6,9;..;..;92,9;..;..;
Olofström;1060;Blekinge län;10;Kommunal;Svenska;109;56;53;~100;100,0;~100;13,4;14,0;12,8;85,8;83,6;88,3;
Olofström;1060;Blekinge län;10;Kommunal;Engelska;123;65;58;~100;100,0;~100;16,1;16,3;15,8;87,2;87,8;86,6;
Olofström;1060;Blekinge län;10;Kommunal;Matematik;105;50;55;81,9;80,0;83,6;11,0;10,3;11,6;90,1;89,2;91,0;
Orsa;2034;Dalarnas län;20;Samtliga;Svenska;59;28;31;91,5;~100;~100;12,2;13,1;11,4;86,8;84,8;88,6;
Orsa;2034;Dalarnas län;20;Samtliga;Matematik;63;29;34;76,2;75,9;76,5;9,6;9,3;9,8;82,9;80,6;85,0;
Orsa;2034;Dalarnas län;20;Samtliga;Engelska;65;32;33;~100;~100;100,0;15,3;14,8;15,7;85,5;88,9;82,5;
Orsa;2034;Dalarnas län;20;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Orsa;2034;Dalarnas län;20;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Orsa;2034;Dalarnas län;20;Kommunal;Svenska;59;28;31;91,5;~100;~100;12,2;13,1;11,4;86,8;84,8;88,6;
Orsa;2034;Dalarnas län;20;Kommunal;Matematik;63;29;34;76,2;75,9;76,5;9,6;9,3;9,8;82,9;80,6;85,0;
Orsa;2034;Dalarnas län;20;Kommunal;Engelska;65;32;33;~100;~100;100,0;15,3;14,8;15,7;85,5;88,9;82,5;
Orust;1421;Västra Götalands län;14;Samtliga;Matematik;143;54;89;84,6;88,9;82,0;11,3;11,9;11,0;86,1;80,6;89,9;
Orust;1421;Västra Götalands län;14;Samtliga;Svenska;143;58;85;93,0;~100;..;12,3;13,5;11,6;96,0;95,1;96,6;
Orust;1421;Västra Götalands län;14;Samtliga;Svenska som andraspråk;14;..;..;~100;..;..;9,5;..;..;82,4;..;..;
Orust;1421;Västra Götalands län;14;Samtliga;Engelska;153;61;92;~100;100,0;~100;15,6;15,9;15,3;92,2;91,0;92,9;
Orust;1421;Västra Götalands län;14;Kommunal;Engelska;142;57;85;~100;100,0;~100;15,4;15,7;15,1;92,8;93,4;92,4;
Orust;1421;Västra Götalands län;14;Kommunal;Matematik;131;49;82;83,2;87,8;80,5;11,1;11,7;10,7;85,6;80,3;89,1;
Orust;1421;Västra Götalands län;14;Kommunal;Svenska;131;53;78;92,4;~100;..;12,1;13,3;11,3;96,3;96,4;96,3;
Orust;1421;Västra Götalands län;14;Kommunal;Svenska som andraspråk;14;..;..;~100;..;..;9,5;..;..;82,4;..;..;
Orust;1421;Västra Götalands län;14;Enskild;Svenska;12;..;..;100,0;..;..;15,4;..;..;92,3;..;..;
Orust;1421;Västra Götalands län;14;Enskild;Engelska;11;..;..;100,0;..;..;18,0;..;..;84,6;..;..;
Orust;1421;Västra Götalands län;14;Enskild;Matematik;12;..;..;100,0;..;..;13,8;..;..;92,3;..;..;
Osby;1273;Skåne län;12;Samtliga;Engelska;129;61;68;92,2;~100;..;13,8;14,6;13,0;93,5;92,4;94,4;
Osby;1273;Skåne län;12;Samtliga;Svenska som andraspråk;14;..;..;~100;..;..;9,1;..;..;93,3;..;..;
Osby;1273;Skåne län;12;Samtliga;Matematik;121;59;62;76,0;78,0;74,2;10,2;10,9;9,6;87,7;89,4;86,1;
Osby;1273;Skåne län;12;Samtliga;Svenska;112;54;58;85,7;90,7;81,0;11,1;12,5;9,8;91,1;91,5;90,6;
Osby;1273;Skåne län;12;Kommunal;Svenska som andraspråk;14;..;..;~100;..;..;9,1;..;..;93,3;..;..;
Osby;1273;Skåne län;12;Kommunal;Svenska;112;54;58;85,7;90,7;81,0;11,1;12,5;9,8;91,1;91,5;90,6;
Osby;1273;Skåne län;12;Kommunal;Matematik;121;59;62;76,0;78,0;74,2;10,2;10,9;9,6;87,7;89,4;86,1;
Osby;1273;Skåne län;12;Kommunal;Engelska;129;61;68;92,2;~100;..;13,8;14,6;13,0;93,5;92,4;94,4;
Oskarshamn;0882;Kalmar län;08;Samtliga;Matematik;277;133;144;82,7;86,5;79,2;11,1;11,4;10,8;90,5;92,4;88,9;
Oskarshamn;0882;Kalmar län;08;Samtliga;Svenska som andraspråk;39;15;24;66,7;~100;..;7,6;9,0;6,7;90,7;100,0;85,7;
Oskarshamn;0882;Kalmar län;08;Samtliga;Engelska;282;132;150;96,5;~100;..;14,6;14,8;14,4;92,2;91,7;92,6;
Oskarshamn;0882;Kalmar län;08;Samtliga;Svenska;246;119;127;91,9;~100;..;12,3;13,7;11,0;93,5;92,2;94,8;
Oskarshamn;0882;Kalmar län;08;Kommunal;Engelska;282;132;150;96,5;~100;..;14,6;14,8;14,4;92,2;91,7;92,6;
Oskarshamn;0882;Kalmar län;08;Kommunal;Svenska som andraspråk;39;15;24;66,7;~100;..;7,6;9,0;6,7;90,7;100,0;85,7;
Oskarshamn;0882;Kalmar län;08;Kommunal;Svenska;246;119;127;91,9;~100;..;12,3;13,7;11,0;93,5;92,2;94,8;
Oskarshamn;0882;Kalmar län;08;Kommunal;Matematik;277;133;144;82,7;86,5;79,2;11,1;11,4;10,8;90,5;92,4;88,9;
Ovanåker;2121;Gävleborgs län;21;Samtliga;Svenska;104;44;60;~100;100,0;~100;13,5;15,4;12,2;92,9;93,6;92,3;
Ovanåker;2121;Gävleborgs län;21;Samtliga;Engelska;109;43;66;~100;~100;~100;15,1;15,5;14,8;89,3;84,3;93,0;
Ovanåker;2121;Gävleborgs län;21;Samtliga;Matematik;107;42;65;87,9;85,7;89,2;11,8;12,2;11,6;87,7;82,4;91,5;
Ovanåker;2121;Gävleborgs län;21;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Ovanåker;2121;Gävleborgs län;21;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Ovanåker;2121;Gävleborgs län;21;Kommunal;Matematik;107;42;65;87,9;85,7;89,2;11,8;12,2;11,6;87,7;82,4;91,5;
Ovanåker;2121;Gävleborgs län;21;Kommunal;Engelska;109;43;66;~100;~100;~100;15,1;15,5;14,8;89,3;84,3;93,0;
Ovanåker;2121;Gävleborgs län;21;Kommunal;Svenska;104;44;60;~100;100,0;~100;13,5;15,4;12,2;92,9;93,6;92,3;
Oxelösund;0481;Södermanlands län;04;Samtliga;Svenska som andraspråk;21;11;10;~100;100,0;..;12,1;13,2;11,0;80,8;78,6;83,3;
Oxelösund;0481;Södermanlands län;04;Samtliga;Matematik;88;43;45;70,5;69,8;71,1;8,7;8,3;9,1;84,6;84,3;84,9;
Oxelösund;0481;Södermanlands län;04;Samtliga;Engelska;92;45;47;~100;100,0;~100;15,0;14,6;15,4;88,5;88,2;88,7;
Oxelösund;0481;Södermanlands län;04;Samtliga;Svenska;64;30;34;~100;~100;~100;12,1;12,5;11,7;82,1;81,1;82,9;
Oxelösund;0481;Södermanlands län;04;Kommunal;Svenska som andraspråk;21;11;10;~100;100,0;..;12,1;13,2;11,0;80,8;78,6;83,3;
Oxelösund;0481;Södermanlands län;04;Kommunal;Engelska;92;45;47;~100;100,0;~100;15,0;14,6;15,4;88,5;88,2;88,7;
Oxelösund;0481;Södermanlands län;04;Kommunal;Matematik;88;43;45;70,5;69,8;71,1;8,7;8,3;9,1;84,6;84,3;84,9;
Oxelösund;0481;Södermanlands län;04;Kommunal;Svenska;64;30;34;~100;~100;~100;12,1;12,5;11,7;82,1;81,1;82,9;
Pajala;2521;Norrbottens län;25;Samtliga;Engelska;55;30;25;~100;~100;~100;14,0;14,4;13,5;87,3;88,2;86,2;
Pajala;2521;Norrbottens län;25;Samtliga;Svenska;54;30;24;~100;100,0;~100;12,6;14,3;10,5;85,7;88,2;82,8;
Pajala;2521;Norrbottens län;25;Samtliga;Matematik;50;25;25;~100;~100;100,0;12,1;12,1;12,0;79,4;73,5;86,2;
Pajala;2521;Norrbottens län;25;Kommunal;Matematik;47;23;24;~100;~100;100,0;12,0;12,0;12,1;82,5;74,2;92,3;
Pajala;2521;Norrbottens län;25;Kommunal;Svenska;51;28;23;~100;100,0;~100;12,6;14,3;10,5;89,5;90,3;88,5;
Pajala;2521;Norrbottens län;25;Kommunal;Engelska;51;27;24;~100;~100;~100;14,0;14,4;13,4;89,5;87,1;92,3;
Pajala;2521;Norrbottens län;25;Enskild;Engelska;..;..;..;..;..;..;..;..;..;..;..;..;
Pajala;2521;Norrbottens län;25;Enskild;Svenska;..;..;..;..;..;..;..;..;..;..;..;..;
Pajala;2521;Norrbottens län;25;Enskild;Matematik;..;..;..;..;..;..;..;..;..;..;..;..;
Partille;1402;Västra Götalands län;14;Samtliga;Svenska;427;200;227;97,0;~100;..;13,9;14,8;13,2;92,2;91,7;92,7;
Partille;1402;Västra Götalands län;14;Samtliga;Svenska som andraspråk;45;22;23;71,1;68,2;73,9;8,6;8,6;8,6;93,8;95,7;92,0;
Partille;1402;Västra Götalands län;14;Samtliga;Matematik;470;223;247;88,5;84,8;91,9;12,3;11,9;12,7;92,0;92,5;91,5;
Partille;1402;Västra Götalands län;14;Samtliga;Engelska;476;222;254;97,1;96,4;97,6;16,0;16,1;16,0;93,2;92,1;94,1;
Partille;1402;Västra Götalands län;14;Kommunal;Engelska;458;212;246;96,9;96,2;97,6;16,0;16,0;16,0;93,1;92,2;93,9;
Partille;1402;Västra Götalands län;14;Kommunal;Svenska;409;190;219;96,8;~100;..;13,8;14,7;13,1;92,1;91,8;92,4;
Partille;1402;Västra Götalands län;14;Kommunal;Svenska som andraspråk;45;22;23;71,1;68,2;73,9;8,6;8,6;8,6;93,8;95,7;92,0;
Partille;1402;Västra Götalands län;14;Kommunal;Matematik;453;214;239;88,5;85,0;91,6;12,3;11,9;12,6;92,1;93,0;91,2;
Partille;1402;Västra Götalands län;14;Enskild;Matematik;17;..;..;~100;..;..;13,4;..;..;89,5;..;..;
Partille;1402;Västra Götalands län;14;Enskild;Engelska;18;..;..;100,0;100,0;..;17,2;18,0;..;94,7;90,9;..;
Partille;1402;Västra Götalands län;14;Enskild;Svenska;18;..;..;100,0;100,0;..;16,0;16,3;..;94,7;90,9;..;
Perstorp;1275;Skåne län;12;Samtliga;Svenska;70;28;42;85,7;~100;..;11,0;12,5;10,0;83,3;84,8;82,4;
Perstorp;1275;Skåne län;12;Samtliga;Engelska;87;32;55;92,0;~100;~100;14,3;13,7;14,6;83,7;82,1;84,6;
Perstorp;1275;Skåne län;12;Samtliga;Matematik;83;29;54;81,9;82,8;81,5;10,8;10,7;10,8;79,8;74,4;83,1;
Perstorp;1275;Skåne län;12;Samtliga;Svenska som andraspråk;18;..;..;61,1;..;..;6,7;..;6,5;90,0;..;85,7;
Perstorp;1275;Skåne län;12;Kommunal;Engelska;87;32;55;92,0;~100;~100;14,3;13,7;14,6;83,7;82,1;84,6;
Perstorp;1275;Skåne län;12;Kommunal;Svenska som andraspråk;18;..;..;61,1;..;..;6,7;..;6,5;90,0;..;85,7;
Perstorp;1275;Skåne län;12;Kommunal;Matematik;83;29;54;81,9;82,8;81,5;10,8;10,7;10,8;79,8;74,4;83,1;
Perstorp;1275;Skåne län;12;Kommunal;Svenska;70;28;42;85,7;~100;..;11,0;12,5;10,0;83,3;84,8;82,4;
Piteå;2581;Norrbottens län;25;Samtliga;Svenska;443;192;251;93,0;95,8;90,8;12,4;13,8;11,4;94,5;92,8;95,8;
Piteå;2581;Norrbottens län;25;Samtliga;Matematik;448;198;250;91,5;91,4;91,6;12,0;12,0;12,0;92,0;91,7;92,3;
Piteå;2581;Norrbottens län;25;Samtliga;Engelska;457;198;259;97,8;~100;..;15,5;15,8;15,3;93,8;91,7;95,6;
Piteå;2581;Norrbottens län;25;Samtliga;Svenska som andraspråk;14;..;..;~100;..;..;10,0;..;..;77,8;..;..;
Piteå;2581;Norrbottens län;25;Kommunal;Matematik;448;198;250;91,5;91,4;91,6;12,0;12,0;12,0;92,0;91,7;92,3;
Piteå;2581;Norrbottens län;25;Kommunal;Engelska;457;198;259;97,8;~100;..;15,5;15,8;15,3;93,8;91,7;95,6;
Piteå;2581;Norrbottens län;25;Kommunal;Svenska;443;192;251;93,0;95,8;90,8;12,4;13,8;11,4;94,5;92,8;95,8;
Piteå;2581;Norrbottens län;25;Kommunal;Svenska som andraspråk;14;..;..;~100;..;..;10,0;..;..;77,8;..;..;
Ragunda;2303;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Ragunda;2303;Jämtlands län;23;Samtliga;Svenska;42;18;24;~100;~100;~100;13,0;13,6;12,6;91,3;90,0;92,3;
Ragunda;2303;Jämtlands län;23;Samtliga;Matematik;40;18;22;85,0;~100;~100;11,9;10,7;12,8;80,0;81,8;78,6;
Ragunda;2303;Jämtlands län;23;Samtliga;Engelska;43;17;26;~100;~100;~100;15,5;16,5;14,8;86,0;77,3;92,9;
Ragunda;2303;Jämtlands län;23;Kommunal;Engelska;43;17;26;~100;~100;~100;15,5;16,5;14,8;86,0;77,3;92,9;
Ragunda;2303;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Ragunda;2303;Jämtlands län;23;Kommunal;Svenska;42;18;24;~100;~100;~100;13,0;13,6;12,6;91,3;90,0;92,3;
Ragunda;2303;Jämtlands län;23;Kommunal;Matematik;40;18;22;85,0;~100;~100;11,9;10,7;12,8;80,0;81,8;78,6;
Robertsfors;2409;Västerbottens län;24;Samtliga;Matematik;58;24;34;82,8;~100;..;11,1;11,3;11,0;82,9;82,8;82,9;
Robertsfors;2409;Västerbottens län;24;Samtliga;Svenska;53;23;30;100,0;100,0;100,0;14,2;15,4;13,3;81,5;82,1;81,1;
Robertsfors;2409;Västerbottens län;24;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Robertsfors;2409;Västerbottens län;24;Samtliga;Engelska;62;25;37;~100;100,0;~100;16,3;17,2;15,6;88,6;86,2;90,2;
Robertsfors;2409;Västerbottens län;24;Kommunal;Engelska;62;25;37;~100;100,0;~100;16,3;17,2;15,6;88,6;86,2;90,2;
Robertsfors;2409;Västerbottens län;24;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Robertsfors;2409;Västerbottens län;24;Kommunal;Svenska;53;23;30;100,0;100,0;100,0;14,2;15,4;13,3;81,5;82,1;81,1;
Robertsfors;2409;Västerbottens län;24;Kommunal;Matematik;58;24;34;82,8;~100;..;11,1;11,3;11,0;82,9;82,8;82,9;
Ronneby;1081;Blekinge län;10;Samtliga;Svenska;199;104;95;94,0;~100;..;12,3;13,3;11,2;86,9;88,1;85,6;
Ronneby;1081;Blekinge län;10;Samtliga;Matematik;268;134;134;80,2;76,1;84,3;9,9;9,2;10,5;86,5;87,0;85,9;
Ronneby;1081;Blekinge län;10;Samtliga;Engelska;270;137;133;94,1;93,4;94,7;13,8;13,5;14,2;87,1;89,0;85,3;
Ronneby;1081;Blekinge län;10;Samtliga;Svenska som andraspråk;70;31;39;64,3;74,2;56,4;7,5;8,5;6,8;86,4;86,1;86,7;
Ronneby;1081;Blekinge län;10;Kommunal;Svenska som andraspråk;55;27;28;63,6;74,1;53,6;7,2;8,3;6,1;85,9;90,0;82,4;
Ronneby;1081;Blekinge län;10;Kommunal;Svenska;177;91;86;94,4;~100;..;12,2;13,1;11,3;90,3;92,9;87,8;
Ronneby;1081;Blekinge län;10;Kommunal;Engelska;224;114;110;93,8;92,1;95,5;13,8;13,2;14,5;86,2;89,1;83,3;
Ronneby;1081;Blekinge län;10;Kommunal;Matematik;223;111;112;79,8;75,7;83,9;9,8;9,1;10,5;85,8;86,7;84,8;
Ronneby;1081;Blekinge län;10;Enskild;Engelska;46;23;23;~100;100,0;~100;13,9;15,0;12,8;92,0;88,5;95,8;
Ronneby;1081;Blekinge län;10;Enskild;Matematik;45;23;22;82,2;..;~100;10,3;10,0;10,7;90,0;88,5;91,7;
Ronneby;1081;Blekinge län;10;Enskild;Svenska;22;..;..;~100;100,0;..;12,7;14,6;..;66,7;65,0;..;
Ronneby;1081;Blekinge län;10;Enskild;Svenska som andraspråk;15;..;..;66,7;..;..;8,8;..;8,6;88,2;..;100,0;
Rättvik;2031;Dalarnas län;20;Samtliga;Svenska;109;50;59;94,5;~100;~100;13,6;14,6;12,8;96,5;94,3;98,3;
Rättvik;2031;Dalarnas län;20;Samtliga;Matematik;106;52;54;82,1;78,8;85,2;10,2;9,7;10,7;91,5;92,9;90,2;
Rättvik;2031;Dalarnas län;20;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Rättvik;2031;Dalarnas län;20;Samtliga;Engelska;109;52;57;~100;~100;~100;14,9;14,7;15,1;93,2;92,9;93,4;
Rättvik;2031;Dalarnas län;20;Kommunal;Engelska;109;52;57;~100;~100;~100;14,9;14,7;15,1;93,2;92,9;93,4;
Rättvik;2031;Dalarnas län;20;Kommunal;Svenska;109;50;59;94,5;~100;~100;13,6;14,6;12,8;96,5;94,3;98,3;
Rättvik;2031;Dalarnas län;20;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Rättvik;2031;Dalarnas län;20;Kommunal;Matematik;106;52;54;82,1;78,8;85,2;10,2;9,7;10,7;91,5;92,9;90,2;
Sala;1981;Västmanlands län;19;Samtliga;Svenska som andraspråk;33;13;20;51,5;~100;..;6,1;10,4;3,4;100,0;100,0;100,0;
Sala;1981;Västmanlands län;19;Samtliga;Svenska;202;95;107;84,2;94,7;74,8;11,4;13,8;9,3;93,5;94,1;93,0;
Sala;1981;Västmanlands län;19;Samtliga;Matematik;231;106;125;79,7;81,1;78,4;10,0;10,1;9,8;92,8;93,0;92,6;
Sala;1981;Västmanlands län;19;Samtliga;Engelska;214;101;113;95,3;..;~100;14,0;14,0;14,1;85,9;88,6;83,7;
Sala;1981;Västmanlands län;19;Kommunal;Svenska som andraspråk;33;13;20;51,5;~100;..;6,1;10,4;3,4;100,0;100,0;100,0;
Sala;1981;Västmanlands län;19;Kommunal;Svenska;202;95;107;84,2;94,7;74,8;11,4;13,8;9,3;93,5;94,1;93,0;
Sala;1981;Västmanlands län;19;Kommunal;Matematik;231;106;125;79,7;81,1;78,4;10,0;10,1;9,8;92,8;93,0;92,6;
Sala;1981;Västmanlands län;19;Kommunal;Engelska;214;101;113;95,3;..;~100;14,0;14,0;14,1;85,9;88,6;83,7;
Salem;0128;Stockholms län;01;Samtliga;Svenska;192;89;103;95,3;~100;..;13,6;14,4;12,8;88,5;82,4;94,5;
Salem;0128;Stockholms län;01;Samtliga;Svenska som andraspråk;15;..;..;100,0;..;..;12,0;..;..;88,2;..;..;
Salem;0128;Stockholms län;01;Samtliga;Matematik;194;90;104;86,1;85,6;86,5;11,8;11,4;12,1;82,9;78,3;87,4;
Salem;0128;Stockholms län;01;Samtliga;Engelska;203;97;106;~100;~100;100,0;16,8;16,4;17,1;86,8;84,3;89,1;
Salem;0128;Stockholms län;01;Kommunal;Svenska som andraspråk;15;..;..;100,0;..;..;12,0;..;..;88,2;..;..;
Salem;0128;Stockholms län;01;Kommunal;Svenska;165;76;89;94,5;~100;..;13,6;14,5;12,7;87,3;80,9;93,7;
Salem;0128;Stockholms län;01;Kommunal;Matematik;168;78;90;85,1;85,9;84,4;11,7;11,4;11,9;81,6;77,2;85,7;
Salem;0128;Stockholms län;01;Kommunal;Engelska;176;84;92;~100;~100;100,0;16,8;16,5;17,1;85,4;83,2;87,6;
Salem;0128;Stockholms län;01;Enskild;Svenska;27;13;14;100,0;100,0;100,0;13,5;13,5;13,6;96,4;92,9;100,0;
Salem;0128;Stockholms län;01;Enskild;Matematik;26;12;14;~100;~100;100,0;12,6;11,7;13,4;92,9;85,7;100,0;
Salem;0128;Stockholms län;01;Enskild;Engelska;27;13;14;100,0;100,0;100,0;16,4;15,6;17,1;96,4;92,9;100,0;
Sandviken;2181;Gävleborgs län;21;Samtliga;Svenska som andraspråk;92;48;44;72,8;77,1;68,2;8,9;9,8;8,0;89,3;92,3;86,3;
Sandviken;2181;Gävleborgs län;21;Samtliga;Svenska;267;139;128;92,5;95,0;89,8;12,7;13,7;11,5;85,6;88,0;83,1;
Sandviken;2181;Gävleborgs län;21;Samtliga;Matematik;357;182;175;82,9;86,3;79,4;10,9;11,1;10,8;86,0;86,7;85,4;
Sandviken;2181;Gävleborgs län;21;Samtliga;Engelska;355;177;178;93,8;94,9;92,7;14,7;14,8;14,5;85,8;84,8;86,8;
Sandviken;2181;Gävleborgs län;21;Kommunal;Svenska som andraspråk;91;47;44;73,6;78,7;68,2;9,0;10,0;8,0;89,2;92,2;86,3;
Sandviken;2181;Gävleborgs län;21;Kommunal;Svenska;250;128;122;92,4;95,3;89,3;12,6;13,7;11,5;85,0;87,1;83,0;
Sandviken;2181;Gävleborgs län;21;Kommunal;Engelska;339;168;171;93,5;94,6;92,4;14,6;14,7;14,5;85,9;85,4;86,4;
Sandviken;2181;Gävleborgs län;21;Kommunal;Matematik;339;171;168;82,0;85,4;78,6;10,8;10,8;10,7;85,6;86,4;84,8;
Sandviken;2181;Gävleborgs län;21;Enskild;Engelska;16;..;..;100,0;..;..;16,9;..;..;84,2;..;..;
Sandviken;2181;Gävleborgs län;21;Enskild;Matematik;18;..;..;100,0;100,0;..;14,6;15,2;..;94,7;91,7;..;
Sandviken;2181;Gävleborgs län;21;Enskild;Svenska;17;..;..;~100;~100;..;13,5;14,1;..;94,4;100,0;..;
Sandviken;2181;Gävleborgs län;21;Enskild;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Sigtuna;0191;Stockholms län;01;Samtliga;Engelska;564;275;289;98,4;..;~100;16,0;16,1;16,0;89,8;91,7;88,1;
Sigtuna;0191;Stockholms län;01;Samtliga;Svenska som andraspråk;165;75;90;72,7;81,3;65,6;8,8;10,2;7,6;84,2;86,2;82,6;
Sigtuna;0191;Stockholms län;01;Samtliga;Matematik;553;267;286;80,5;80,5;80,4;10,6;10,3;10,9;88,1;89,0;87,2;
