Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2017/18
 
Under vårterminen 2018 fanns indikationer på att vissa av de nationella delproven i årskurs 9 hade varit åtkomliga på förhand.
Skolverket rekommenderade då att skolan skulle använda ersättningsprov om man fick kännedom om att provet eller delar av provet
blivit känt bland eleverna på skolan. Resultaten från ersättningsprov samlas inte in. Istället gavs instruktionen vid insamling
av resultaten att ange att "eleven ej deltagit", vilket syftar på att ordinarie prov inte använts.
För provbetyget i matematik är den totala andelen elever som har rapporterats in som "eleven ej deltagit" så stor (närmare 76 procent)
att resultaten inte kan publiceras med den kvalitet som gäller för officiell statistik enligt 3 a § lagen (2001:99) om den officiella statistiken.

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Arvika;1784;Värmlands län;17;Samtliga;Svenska;92,6;92,0;93,2;224;115;109;~100;~100;~100;14,0;14,7;13,3;
Arvika;1784;Värmlands län;17;Samtliga;Svenska som andraspråk;77,8;86,7;71,4;28;13;15;71,4;~100;..;9,4;11,7;7,3;
Arvika;1784;Värmlands län;17;Samtliga;Engelska;89,2;92,1;86,2;248;129;119;97,2;..;~100;15,0;15,0;15,0;
Arvika;1784;Värmlands län;17;Kommunal;Engelska;88,5;92,3;85,4;201;96;105;97,0;~100;~100;14,7;14,6;14,9;
Arvika;1784;Värmlands län;17;Kommunal;Svenska;93,2;93,3;93,1;178;83;95;~100;~100;~100;13,6;14,3;13,0;
Arvika;1784;Värmlands län;17;Kommunal;Svenska som andraspråk;77,8;86,7;71,4;28;13;15;71,4;~100;..;9,4;11,7;7,3;
Arvika;1784;Värmlands län;17;Enskild;Engelska;92,2;91,7;93,3;47;33;14;~100;~100;100,0;16,0;16,1;15,7;
Arvika;1784;Värmlands län;17;Enskild;Svenska;90,2;88,9;93,3;46;32;14;100,0;100,0;100,0;15,5;15,6;15,4;
Askersund;1882;Örebro län;18;Samtliga;Engelska;92,7;93,8;91,7;89;45;44;~100;100,0;~100;14,3;14,2;14,4;
Askersund;1882;Örebro län;18;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Samtliga;Svenska;89,8;89,1;90,5;79;41;38;~100;~100;~100;13,6;14,0;13,1;
Askersund;1882;Örebro län;18;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Askersund;1882;Örebro län;18;Kommunal;Engelska;92,7;93,8;91,7;89;45;44;~100;100,0;~100;14,3;14,2;14,4;
Askersund;1882;Örebro län;18;Kommunal;Svenska;89,8;89,1;90,5;79;41;38;~100;~100;~100;13,6;14,0;13,1;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska;53,8;46,7;58,9;98;35;63;~100;~100;~100;12,8;13,6;12,3;
Avesta;2084;Dalarnas län;20;Samtliga;Engelska;87,0;88,0;86,3;194;81;113;94,8;93,8;95,6;14,5;14,2;14,8;
Avesta;2084;Dalarnas län;20;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska;53,8;46,7;58,9;98;35;63;~100;~100;~100;12,8;13,6;12,3;
Avesta;2084;Dalarnas län;20;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Avesta;2084;Dalarnas län;20;Kommunal;Engelska;87,0;88,0;86,3;194;81;113;94,8;93,8;95,6;14,5;14,2;14,8;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska;98,6;100,0;96,3;70;44;26;~100;100,0;~100;14,0;15,1;12,3;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Engelska;89,7;90,6;88,2;78;48;30;~100;~100;~100;14,4;15,0;13,3;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Engelska;89,7;90,6;88,2;78;48;30;~100;~100;~100;14,4;15,0;13,3;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska;98,6;100,0;96,3;70;44;26;~100;100,0;~100;14,0;15,1;12,3;
Berg;2326;Jämtlands län;23;Samtliga;Engelska;40,7;42,1;39,5;33;16;17;~100;~100;~100;12,9;12,0;13,7;
